username,content,date,userlocation,likecount,retweetcount,followers,url
FUcarz,"Wczorajszy mecz był najlepszy za Sousy. Nie zgodzę się z @BorekMati, że to z ESP pokazaliśmy charakter jako drużyna; dopiero teraz możemy być dumni z tej kadry. Najgorszy Jóźwiak, doskonały Płacheta (dlaczego dopiero wczoraj?), Lewy genialny napastnik, ale dalej nie lider #POLSWE https://t.co/K1VWyDdPUF",2021-06-24 10:42:26+00:00,"Wroclaw, Poland",2,0,2,https://twitter.com/FUcarz/status/1408012636747403268
sycylia6_,"Leciały wczoraj telewizory 🤭🤭

#POLSWE https://t.co/ta6WSxAsX6",2021-06-24 10:38:55+00:00,,13,2,8533,https://twitter.com/sycylia6_/status/1408011748792221698
KubaTrec,"2/2 od lat brakuje nam cierpliwości, stale zwalniamy, zmieniamy i oczekujemy natychmiastowych wyników. W sporcie tak się nie da. Popatrzmy, ile pracują selekcjonerzy w innych krajach. Ta drużyna i ten trener rozczarowali, ale nie trzeba ich teraz stygmatyzować... #POLSWE",2021-06-24 10:37:43+00:00,"Poznań/Trójmiasto, Polska",3,0,741,https://twitter.com/KubaTrec/status/1408011449608421378
KubaTrec,"Myślę, że każdy kto uprawiał/uprawia sport, najlepiej drużynowy, ten wie, jak porażki budują i scalają zespół. Dajmy temu trenerowi i tym zawodnikom wyciągnąć z tego lekcję i przekuć w udane MŚ (wcześniej eliminacje) 1/2 #POLSWE",2021-06-24 10:35:15+00:00,"Poznań/Trójmiasto, Polska",3,0,741,https://twitter.com/KubaTrec/status/1408010829140828169
iforbetpl,"Ona jeszcze nie wie 😜

#Euro2020 #POL #POLSWE #SWEPOL https://t.co/WuEgMU7IFF",2021-06-24 10:32:00+00:00,,4,0,4363,https://twitter.com/iforbetpl/status/1408010008625774593
MarcinOstry017,"#strefaeuro #PotopSzwedzki #tvpsport @Sportowy_Kanal 

Sportowo i personalnie mieliśmy problem. Wyobraźmy sobie, że zamiast Krychowiaka walczy tam Bielik, zamiast Świerczoka wchodzi Piątek , że mamy Arka Milika w składzie. Niebo a ziemia, kontuzje zmniejszyły potencjał. #POLSWE",2021-06-24 10:30:28+00:00,"Wieluń, Polska",1,0,18,https://twitter.com/MarcinOstry017/status/1408009625601986561
PaulKozuchowski,Czy reasumpcja meczu #POLSWE  wchodzi w rachubę?,2021-06-24 10:29:24+00:00,"Hannover, Niedersachsen",1,0,1671,https://twitter.com/PaulKozuchowski/status/1408009355384037376
Mrozon_,Chciałbym żeby Sousa został. Nawet jak się nie dostaniemy na MŚ(bo raczej się nie dostaniemy:/). Trzeba mu dać przynajmniej kolejny rok i wtedy czekać na efekty. #POLSWE,2021-06-24 10:25:31+00:00,,3,0,9,https://twitter.com/Mrozon_/status/1408008376534118400
jedenmeczwt,"I cyk, podsumowanie wczorajszego dnia na #EURO2020 

#POLSWE #ESPSVK #HUNGER #FRAPOR 

https://t.co/zkQ2A07kON https://t.co/M3ll9i3cry",2021-06-24 10:25:18+00:00,,2,0,53,https://twitter.com/jedenmeczwt/status/1408008322918273028
Mvgiwara7,Gdyby nie Szwecja to bysmy wyszlo z grupy. #POLSWE,2021-06-24 10:23:22+00:00,,0,0,31,https://twitter.com/Mvgiwara7/status/1408007838547447811
SantiagoElCule,"*Konferencja PZPN*
Boniek: Biorę to wszystko co się wydarzyło na klatę.
Boniek minutę później: Nie mam sobie nic do zarzucenia.

Kiedy nie chcesz przyznać się do błędu, ale w sumie zgrywanie mesjasza pokutującego za grzeszki innych jest kuszące😂 #POLSWE #SWEPOL https://t.co/dOeOWcwAeF",2021-06-24 10:19:18+00:00,,27,1,1272,https://twitter.com/SantiagoElCule/status/1408006813660979200
karol_kusztal,"Konferencja Bońka w skrócie: No szkoda w chuj, ale awans na Mundial to pewniaczek to nie ma co płakać. Moje błędy? Wy sami jesteście błędy. 

Najgorsze że godnego zastępcy na horyzoncie nie widać 🤦‍♂️ #POLSWE #EURO2020 https://t.co/kgHDzwh7Kj",2021-06-24 10:19:11+00:00,,1,0,140,https://twitter.com/karol_kusztal/status/1408006782086156292
KMetaKowalski,"Tak sobie obejrzałem ponownie wczorajsze bramki Szwedów... Wszystko wina naszej obrony. Tragedia jak ze Słowacją. Bez krycia, 5 przed bramką a na wysokości ""11"" wolny zawodnik, do którego wszyscy skaczą dupami gdy już za późno. Obrona - tu jest nasz problem. #POLSWE",2021-06-24 10:15:27+00:00,,5,2,5205,https://twitter.com/KMetaKowalski/status/1408005844688687105
buszu_,Niech mu ktoś w końcu wyłoży kawę na ławę. Nawet jak są trudne pytania to nie są kontynuowane. Chłop się gubi w tym co mówi. Boniek leje wodę jak ja na maturze ustnej. #konferencjaLIVE #pol #POLSWE,2021-06-24 10:10:21+00:00,,2,0,87,https://twitter.com/buszu_/status/1408004560631828481
LeicesterMental,"Dzień dobry dla wszystkich poza Szczęsnym, Bereszyńskim, Glikiem, Bednarkiem, Krychowiakiem, Klichem, Jóźwiakiem, Puchaczem, Świderskim, Zielińskim, Fabiańskim, Frankowskim, Linettym, Świerczokiem, Kozłowskim, Płachetą, Rybusem, Skorupskim, Dawidowiczem, Helikiem

#POLSWE https://t.co/Fc0ixKnhEu",2021-06-24 10:01:38+00:00,,0,0,1099,https://twitter.com/LeicesterMental/status/1408002368151691265
ania_xx_xx,@t_dzialowy Wystarczy #POLSWE i tam masz kopalnie cudownych memów,2021-06-24 10:01:07+00:00,Polonia🇵🇱,2,0,2051,https://twitter.com/ania_xx_xx/status/1408002235729125380
KonradPogoda,"@rafalhirsch Wczorajszy mecz @Suns @LAClippers
był zdecydowanie lepszy niż #POLSWE ... na parkiecie była krew, złamany nos, walka do ostatniej chwili całych zespołów...",2021-06-24 09:56:12+00:00,Katowice,1,0,6405,https://twitter.com/KonradPogoda/status/1408001001064480768
hytelo,Haha chyba najlepszy memik XDD #POLSWE https://t.co/zzDDUgx5hZ,2021-06-24 09:54:26+00:00,she/her,2,0,106,https://twitter.com/hytelo/status/1408000554874376192
marc3lija,przykro #POLSWE #Euro2020 https://t.co/FYk1OCQtln,2021-06-24 09:43:28+00:00,she/her,3,0,497,https://twitter.com/marc3lija/status/1407997795068526599
ColaBreugnon,"#POLSWE @BoniekZibi wyjaśnia właśnie rzeczowo, psychologicznie, socjologicznie, jednym słowem naukowo.. przyczyny wczorajszej futbolowej chujni...🤦‍♂️",2021-06-24 09:43:12+00:00,,1,0,1274,https://twitter.com/ColaBreugnon/status/1407997728257368070
AdrPeciak,"Poza całą tą krytyką, która spada na kadre to mam wrażenie, że w kluczowych momentach mieli niesamowitego pecha. Zawsze czegoś musiało zabraknąć, poza jakością brakowało po prostu szczęścia.
""Na początku nie mieliśmy szczęścia, a potem przyplątał się pech.""
#POLSWE #Polska #Euro",2021-06-24 09:40:59+00:00,Polska,0,0,15,https://twitter.com/AdrPeciak/status/1407997169748021248
MichalMoch87,"Czego zabrakło podczas #EURO2020 ?

@BoniekZibi JAKOŚĆ. Tylko jakości zabrakło.

#euro #POLSWE #polska",2021-06-24 09:38:33+00:00,Ireland,0,0,2303,https://twitter.com/MichalMoch87/status/1407996557430083596
InstytutBiRM,https://t.co/9cI1yWS82G 🆕 Po meczu #POLSWE  możemy już wrócić do rozmów BARDZO zagranicznych! #PrzeglądBardzoZagraniczny już na naszym kanale #YouTube 🎥 https://t.co/f7spcOmcV6,2021-06-24 09:38:22+00:00,"Ordynacka 9, Warsaw",12,4,1700,https://twitter.com/InstytutBiRM/status/1407996512169254915
bloto_24,"noż skurwesyny, wypierdalać, jak nie potraficie grać razem, takie sławy, a razem zebrane chuja mogą, jebać ich #POLSWE https://t.co/eEatqTkoTe",2021-06-24 09:31:47+00:00,,0,0,0,https://twitter.com/bloto_24/status/1407994854701940737
SantiagoElCule,"Sousa przewidział WSZYSTKO😂
#POLSWE #SWEPOL https://t.co/inUTbY65ve",2021-06-24 09:27:35+00:00,,58,2,1272,https://twitter.com/SantiagoElCule/status/1407993799192817669
grzegorz_kita,"Zaskakująca oglądalność meczu Szwecja-Polska.
8,42 mln widzów (TVP1, TVP Sport, TVP 4K) 
Tego typu mecz (szansa na awans) jeszcze 2-4 lata temu miałby 12-14 mln. 
Wyparowało ok. 1/3 widowni. Wygląda na to, że wieloletnie rozczarowywanie kibiców zaczyna przynosić efekty. 
#POLSWE",2021-06-24 09:26:35+00:00,"Warsaw, Poland.",25,4,2421,https://twitter.com/grzegorz_kita/status/1407993548990042113
