username,content,date,userlocation,likecount,retweetcount,followers,url
PrzybylskiPat,"Kolejną kwestią jest nasz mecz ze Szwecją. Jeżeli nie potrafiliśmy zremisować meczu z jedną z najsłabszych drużyn na tym turnieju, to w jaki sposób zamierzamy pokonać Szwedów - jeden z najlepiej zorganizowanych zespołów w grze defensywnej?
#POLSVK #ESPSWE #EURO2020 #strefaeuro",2021-06-14 21:29:20+00:00,"Copenhagen, Denmark",10,0,1084,https://twitter.com/PrzybylskiPat/status/1404551555198636038
RickBlainePL,@mati_swiecicki No po takim #POLSVK zostało tylko przerzucić się na #CopaAmerica2021,2021-06-14 21:29:15+00:00,"Warszawa, Polska",1,0,729,https://twitter.com/RickBlainePL/status/1404551531765059585
kuba_urba,"Nie znam autora, ale u mnie Nobla już ma! #POLSVK #Krycha #YourSofaYourStadium https://t.co/wC4FbMwadK",2021-06-14 21:28:36+00:00,Polska,12,1,4579,https://twitter.com/kuba_urba/status/1404551367671308294
J1927B,"Po co w mediach pompowany jest balonik, który pęka zaraz po pierwszym meczu... 

Nie zdziwię się jak przegramy wszystkie mecze i zajmiemy ostatnie miejsce. 

#POLSLO #POLSVK #strefaeuro #POL https://t.co/a8Yb47TJQA",2021-06-14 21:28:35+00:00,,0,0,759,https://twitter.com/J1927B/status/1404551366828302338
MarcinDziubiela,Kiedy przegrywasz ze SŁOWACJĄ na euro to po prostu nie pasujesz do tej imprezy. Tutaj nie ma co więcej komentować. Koniec. #POLSVK #EURO2020,2021-06-14 21:28:26+00:00,,1,0,48,https://twitter.com/MarcinDziubiela/status/1404551326294478848
adriansportowo,"Jestem zdruzgotany. To musi być koniec i budowa od początku. Na młodych piłkarzach być może duuuużo słabszych ale bez genu porażki który jest gdzieś u naszych piłkarzy obecny.. 
#POL #POLSVK",2021-06-14 21:28:23+00:00,,2,0,29,https://twitter.com/adriansportowo/status/1404551313397108739
Antysyst,"#POLSVK Poacy przecież nic się nie stało. Hiszpanie zapowiedzieli, że dadzą fory naszym i złoją im skórę 5:0",2021-06-14 21:27:51+00:00,Tęskniąc Za Polską.....Kocham,0,0,3415,https://twitter.com/Antysyst/status/1404551180496347141
fioletowy_zajac,"Lepiej być nie chce, gorzej być nie może. #POLSVK https://t.co/zLfYZWIIVj",2021-06-14 21:27:29+00:00,,1,0,0,https://twitter.com/fioletowy_zajac/status/1404551089739993098
mikesgold2K,"Piłka nożna to nie moja bajka ale chciałem pokibicować naszej reprezentacji. A tu taki klops 
#EURO2020 #POLSVK",2021-06-14 21:26:50+00:00,"Poznań, Polska",1,0,24,https://twitter.com/mikesgold2K/status/1404550925868482565
PapiernikKacper,"Prawdziwym wyzwaniem rozwoju - psychicznego, emocjonalnego i duchowego - nie są chwile chwały, lecz upadku. W takich momentach potrzeba odwagi do działania, do pozostania głodnym w czasie porażki. Potrzeba odwagi, aby zacząć od nowa. 1/
#EURO2020 #POLSVK",2021-06-14 21:26:18+00:00,Warszawa,1,0,324,https://twitter.com/PapiernikKacper/status/1404550790652608512
GregorZar,"To są twardziele, którzy coś osiągają drużynowo i indywidualnie. 
Kopacze mogą się od nich uczyć....#POLSVK #speedway  #Poland #POL https://t.co/rScL9y8pWa",2021-06-14 21:25:21+00:00,"Wrocław, Polska",3,1,59,https://twitter.com/GregorZar/status/1404550552571322370
bat_nox,O typie #POLSVK https://t.co/Nzp0ynh6zs,2021-06-14 21:24:39+00:00,Gotham City ,7,0,2227,https://twitter.com/bat_nox/status/1404550377111015428
ada5ko,Szczęsny to mój ulubiony bramkarz #EURO2020 #POLSVK #POL,2021-06-14 21:24:32+00:00,"Warszawa, Polska",1,0,276,https://twitter.com/ada5ko/status/1404550344550584322
PSkomo,"I cały misterny plan też w pi... 😔😔😔 
#EURO2020 #POLSVK",2021-06-14 21:24:06+00:00,"Warszawa, Polska",0,0,151,https://twitter.com/PSkomo/status/1404550236907974658
Robert47519872,Winne wyniku meczu #POLSVK są Golce. To już stwierdził na nocnej rozprawie @TK_GOV_PL 🇵🇱✝️🕵️‍♂️ https://t.co/WzKkkaSdsa,2021-06-14 21:23:34+00:00,Kielce,1,0,1260,https://twitter.com/Robert47519872/status/1404550103671640070
PiotrDadas,"Ale trzeba się wziąsc w garść i spróbował do soboty ogarnąć. Teoretycznie jeszcze wszystko się może wydarzyc tylko trzeba któryś z pozostałych męczy wygrać. Wiem pożartować fajna sprawa, ale ruszyć dupy trzeba Panowie! #EURO2020 #strefaeuro #POLSVK #POL #kadra2021",2021-06-14 21:23:23+00:00,,0,0,127,https://twitter.com/PiotrDadas/status/1404550054879416324
Kajtt1,"#POLSVK po takim bajdurzeniu na konferencjach, a potem sromotnej porażce Sousa staje się wrogiem nr 1 Polaków",2021-06-14 21:22:51+00:00,"Łódź, Polska",0,0,3,https://twitter.com/Kajtt1/status/1404549923920564232
xfourfivesec,"Czechy i Słowacja świat dominacja
#Euro2020 #SCOCZE #POLSVK https://t.co/H9IMM4czcm",2021-06-14 21:22:25+00:00,,6,0,1079,https://twitter.com/xfourfivesec/status/1404549813832667136
BartoliniDud95,"A propos dzisiejszego meczu Polaków, zamiast komentarza wnioskuje o użycie muzyki tytułowej z Pata i Mata #POLSVK",2021-06-14 21:22:18+00:00,"Legnica, Polska",0,0,20,https://twitter.com/BartoliniDud95/status/1404549785844129800
MateoPrzyboros,"Dlaczego kilka godzin po meczu #POLSVK wciąż niektórzy mówią, że ""Słowacja to najsłabsza drużyna w naszej grupie""? Przecież to nieprawda. Dla mnie to Polacy - jak na razie - są najsłabszą drużyną #EURO2020 PS a swoje mecze rozegrają jeszcze tylko 4.",2021-06-14 21:22:10+00:00,"Olsztyn, Płońsk, Polska",2,0,243,https://twitter.com/MateoPrzyboros/status/1404549751266328577
Zdrojewski_S,#POLSVK Nie należy się zniechęcać. Good night and good luck.,2021-06-14 21:22:08+00:00,Poland,0,0,264,https://twitter.com/Zdrojewski_S/status/1404549741325791241
wujekkk,"No i zaczynamy #EURO2020 #POLSVK standardowo... Patrząc na mecz Hiszpania-Szwecja myślę, że z tym co dzisiaj pokazała nasza reprezentacja (szczególnie w 1 połowie) mogą się od razu pakować i jechać do domu. Będzie mniejsza kompromitacja https://t.co/H0BPPrvddj",2021-06-14 21:22:06+00:00,"Rybnik, Poland",1,0,28,https://twitter.com/wujekkk/status/1404549735776755723
