compound,negative,neutral,positive
-0.7817,0.469,0.374,0.156
-0.34,0.278,0.556,0.167
0.8439,0.0,0.355,0.645
0.8779,0.0,0.641,0.359
0.2263,0.133,0.627,0.24
0.0,0.0,1.0,0.0
0.4404,0.0,0.408,0.592
0.6369,0.0,0.724,0.276
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8687,0.0,0.529,0.471
0.0,0.0,1.0,0.0
0.2732,0.0,0.323,0.677
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0258,0.064,0.853,0.082
0.6808,0.0,0.663,0.337
-0.6486,0.683,0.317,0.0
-0.6808,0.338,0.662,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4199,0.0,0.872,0.128
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5187,0.225,0.615,0.161
-0.1779,0.07,0.852,0.078
0.5994,0.0,0.562,0.438
0.1531,0.0,0.932,0.068
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.32,0.469,0.211
0.0516,0.15,0.688,0.163
0.5859,0.0,0.678,0.322
-0.34,0.706,0.294,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6776,0.0,0.59,0.41
0.5664,0.0,0.563,0.437
0.3506,0.0,0.818,0.182
0.0,0.0,1.0,0.0
0.7783,0.094,0.533,0.373
0.7476,0.0,0.586,0.414
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7269,0.0,0.643,0.357
0.0,0.0,1.0,0.0
0.2263,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.0,0.469,0.531
0.0,0.0,1.0,0.0
0.4404,0.0,0.256,0.744
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.296,0.18,0.82,0.0
0.0,0.0,1.0,0.0
0.6597,0.0,0.625,0.375
0.0772,0.0,0.843,0.157
-0.631,0.509,0.491,0.0
0.2023,0.0,0.795,0.205
-0.0387,0.141,0.859,0.0
0.5859,0.0,0.833,0.167
0.7096,0.0,0.781,0.219
0.0,0.0,1.0,0.0
-0.0258,0.227,0.552,0.221
0.5994,0.0,0.606,0.394
-0.4019,0.31,0.69,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5423,0.0,0.667,0.333
0.0,0.0,1.0,0.0
0.4019,0.286,0.159,0.556
0.7906,0.0,0.3,0.7
0.3971,0.0,0.651,0.349
0.3182,0.0,0.813,0.187
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7767,0.0,0.0,1.0
0.4404,0.0,0.508,0.492
-0.5423,0.368,0.632,0.0
0.0,0.0,1.0,0.0
0.6428,0.177,0.597,0.226
0.3612,0.0,0.872,0.128
0.0,0.0,1.0,0.0
-0.1901,0.208,0.565,0.226
0.6696,0.0,0.609,0.391
0.0,0.0,1.0,0.0
-0.2263,0.151,0.694,0.155
-0.3612,0.451,0.196,0.353
-0.7579,0.448,0.552,0.0
-0.5334,0.161,0.839,0.0
0.0,0.0,1.0,0.0
0.7579,0.0,0.235,0.765
0.5859,0.0,0.294,0.706
0.4753,0.065,0.758,0.177
0.0,0.0,1.0,0.0
-0.5815,0.295,0.705,0.0
0.7256,0.0,0.767,0.233
0.0,0.0,1.0,0.0
0.3561,0.0,0.764,0.236
0.5106,0.0,0.68,0.32
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.556,0.444
0.357,0.0,0.738,0.262
-0.7207,0.463,0.537,0.0
-0.09,0.092,0.829,0.079
0.5859,0.0,0.568,0.432
0.9081,0.0,0.625,0.375
0.4404,0.0,0.734,0.266
0.8302,0.0,0.699,0.301
-0.824,0.183,0.761,0.056
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4003,0.181,0.685,0.134
0.3306,0.181,0.546,0.273
0.4574,0.0,0.501,0.499
-0.4389,0.116,0.884,0.0
0.1901,0.116,0.75,0.134
-0.3195,0.118,0.816,0.066
0.0,0.0,1.0,0.0
0.5994,0.144,0.458,0.399
0.0,0.0,1.0,0.0
0.7345,0.0,0.326,0.674
-0.7717,0.562,0.438,0.0
0.2023,0.0,0.69,0.31
0.0,0.0,1.0,0.0
0.7096,0.0,0.55,0.45
-0.8442,0.189,0.811,0.0
0.5859,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.6908,0.0,0.678,0.322
-0.4588,0.167,0.833,0.0
0.0,0.0,1.0,0.0
0.7096,0.0,0.145,0.855
0.0,0.0,1.0,0.0
-0.1979,0.152,0.737,0.111
-0.5777,0.088,0.912,0.0
