compound,negative,neutral,positive
0.5267,0.0,0.673,0.327
0.6597,0.0,0.901,0.099
0.5719,0.0,0.73,0.27
0.0,0.0,1.0,0.0
-0.5574,0.11,0.89,0.0
0.8689,0.064,0.714,0.222
-0.4019,0.31,0.69,0.0
0.4404,0.0,0.756,0.244
-0.6369,0.091,0.909,0.0
-0.6597,0.204,0.796,0.0
0.6239,0.142,0.63,0.227
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1899,0.135,0.789,0.075
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8591,0.0,0.667,0.333
0.0258,0.139,0.718,0.144
0.2516,0.103,0.756,0.141
0.5994,0.0,0.786,0.214
-0.3597,0.454,0.546,0.0
0.7469,0.0,0.586,0.414
-0.128,0.222,0.593,0.185
0.1154,0.0,0.912,0.088
0.4588,0.0,0.25,0.75
0.5719,0.0,0.519,0.481
0.3182,0.0,0.85,0.15
-0.1027,0.167,0.833,0.0
-0.4497,0.114,0.844,0.042
0.0,0.0,1.0,0.0
-0.1779,0.204,0.637,0.159
-0.6705,0.208,0.792,0.0
-0.0516,0.545,0.455,0.0
0.4215,0.0,0.823,0.177
0.765,0.0,0.708,0.292
-0.4019,0.097,0.903,0.0
-0.3612,0.2,0.8,0.0
0.0,0.0,1.0,0.0
-0.128,0.212,0.606,0.182
0.296,0.099,0.732,0.169
-0.4767,0.171,0.829,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7618,0.0,0.851,0.149
0.5706,0.108,0.658,0.234
-0.0516,0.09,0.833,0.077
0.1935,0.172,0.591,0.237
0.8832,0.117,0.586,0.297
0.0,0.0,1.0,0.0
0.6124,0.0,0.783,0.217
-0.2076,0.124,0.876,0.0
0.4767,0.0,0.492,0.508
-0.4019,0.153,0.847,0.0
0.0,0.0,1.0,0.0
0.3804,0.0,0.907,0.093
0.0,0.0,1.0,0.0
0.3612,0.0,0.444,0.556
0.2263,0.059,0.883,0.058
0.4588,0.0,0.919,0.081
-0.4019,0.144,0.856,0.0
-0.6705,0.391,0.609,0.0
-0.2244,0.213,0.629,0.157
0.7845,0.058,0.734,0.207
0.5719,0.0,0.778,0.222
0.5719,0.0,0.598,0.402
0.5994,0.0,0.606,0.394
0.765,0.068,0.717,0.215
-0.5106,0.18,0.82,0.0
-0.2263,0.185,0.645,0.17
-0.7543,0.325,0.587,0.088
0.0,0.0,1.0,0.0
-0.4466,0.215,0.702,0.084
-0.296,0.18,0.82,0.0
0.1531,0.188,0.602,0.211
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.8039,0.188,0.771,0.041
0.0,0.0,1.0,0.0
0.9062,0.0,0.594,0.406
0.4939,0.0,0.686,0.314
-0.34,0.088,0.848,0.064
-0.6808,0.261,0.739,0.0
-0.3818,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.3089,0.0,0.889,0.111
0.0,0.074,0.807,0.119
0.0,0.0,1.0,0.0
0.4939,0.0,0.652,0.348
0.7543,0.076,0.694,0.23
0.1531,0.166,0.68,0.154
0.5255,0.0,0.371,0.629
0.5719,0.0,0.856,0.144
0.0,0.0,1.0,0.0
-0.9231,0.272,0.728,0.0
-0.2263,0.251,0.619,0.13
0.1027,0.187,0.549,0.264
-0.7351,0.674,0.326,0.0
0.5859,0.0,0.51,0.49
-0.5255,0.184,0.816,0.0
0.4215,0.0,0.741,0.259
