compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.635,0.365
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0258,0.286,0.44,0.275
0.0,0.0,1.0,0.0
0.4303,0.0,0.808,0.192
0.0,0.0,1.0,0.0
0.0258,0.163,0.667,0.17
0.0,0.0,1.0,0.0
0.5859,0.0,0.345,0.655
0.5859,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.2023,0.074,0.8,0.126
0.4215,0.0,0.741,0.259
0.5023,0.0,0.683,0.317
-0.2057,0.185,0.815,0.0
0.6988,0.0,0.509,0.491
-0.6486,0.469,0.531,0.0
0.7266,0.0,0.495,0.505
0.0,0.0,1.0,0.0
0.5106,0.0,0.867,0.133
-0.7632,0.245,0.65,0.106
0.3182,0.0,0.465,0.535
0.4404,0.0,0.838,0.162
-0.5994,0.176,0.824,0.0
-0.4389,0.743,0.257,0.0
0.128,0.1,0.783,0.117
0.7717,0.0,0.717,0.283
-0.34,0.706,0.294,0.0
0.5399,0.0,0.863,0.137
0.0,0.0,1.0,0.0
-0.5574,0.479,0.319,0.202
0.0,0.0,1.0,0.0
0.3382,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7184,0.5,0.5,0.0
-0.4588,0.6,0.4,0.0
0.0,0.0,1.0,0.0
0.2732,0.168,0.539,0.293
0.2732,0.0,0.792,0.208
0.0,0.0,1.0,0.0
0.5789,0.04,0.826,0.134
0.0,0.125,0.75,0.125
-0.5234,0.106,0.894,0.0
-0.6908,0.701,0.299,0.0
0.8462,0.0,0.72,0.28
0.5106,0.0,0.68,0.32
0.8772,0.055,0.677,0.268
-0.6597,0.355,0.645,0.0
0.6369,0.0,0.574,0.426
0.0,0.0,1.0,0.0
0.327,0.0,0.774,0.226
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2023,0.117,0.728,0.155
0.0,0.0,1.0,0.0
0.2732,0.245,0.44,0.314
-0.2263,0.198,0.659,0.144
0.8555,0.082,0.485,0.433
0.0,0.0,1.0,0.0
0.6933,0.0,0.871,0.129
-0.3612,0.294,0.706,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4939,0.0,0.61,0.39
0.0,0.0,1.0,0.0
-0.4118,0.193,0.684,0.123
0.3382,0.171,0.488,0.341
0.0,0.0,1.0,0.0
-0.34,0.461,0.263,0.276
0.25,0.0,0.905,0.095
0.3417,0.2,0.579,0.221
0.0,0.0,1.0,0.0
-0.34,0.43,0.351,0.219
0.3578,0.0,0.668,0.332
0.0772,0.0,0.794,0.206
-0.6948,0.198,0.74,0.063
