compound,negative,neutral,positive
0.8832,0.0,0.661,0.339
0.765,0.0,0.78,0.22
0.8955,0.038,0.609,0.352
0.0,0.0,1.0,0.0
-0.6369,0.139,0.861,0.0
0.0,0.0,1.0,0.0
0.5267,0.0,0.833,0.167
0.8541,0.0,0.67,0.33
0.56,0.131,0.653,0.216
0.5696,0.0,0.908,0.092
0.8074,0.0,0.787,0.213
-0.5719,0.139,0.861,0.0
0.0,0.0,1.0,0.0
-0.128,0.091,0.909,0.0
0.7269,0.0,0.596,0.404
0.5983,0.0,0.672,0.328
0.6209,0.0,0.855,0.145
-0.6804,0.19,0.735,0.076
0.4926,0.0,0.239,0.761
0.949,0.0,0.586,0.414
0.7962,0.0,0.679,0.321
0.0,0.0,1.0,0.0
-0.7184,0.125,0.875,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.802,0.0,0.594,0.406
0.0,0.0,1.0,0.0
0.128,0.165,0.63,0.205
-0.5719,0.125,0.875,0.0
0.4559,0.043,0.854,0.103
0.4939,0.0,0.543,0.457
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.719,0.281
0.0,0.0,1.0,0.0
0.6908,0.084,0.696,0.22
0.4404,0.0,0.256,0.744
0.3182,0.0,0.881,0.119
0.7096,0.0,0.504,0.496
-0.5988,0.189,0.682,0.13
0.7469,0.0,0.78,0.22
-0.6988,0.391,0.609,0.0
0.4926,0.0,0.239,0.761
0.3182,0.128,0.615,0.257
-0.6591,0.147,0.808,0.045
0.0,0.0,1.0,0.0
0.6369,0.107,0.615,0.279
-0.4767,0.508,0.492,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.756,0.244
0.6115,0.086,0.739,0.174
0.6596,0.077,0.786,0.137
0.7906,0.0,0.759,0.241
-0.4588,0.077,0.923,0.0
0.5859,0.0,0.789,0.211
0.3291,0.0,0.923,0.077
0.0,0.0,1.0,0.0
0.7574,0.03,0.779,0.192
0.9011,0.097,0.628,0.275
-0.4019,0.137,0.863,0.0
0.3182,0.156,0.519,0.325
0.0,0.0,1.0,0.0
-0.2755,0.131,0.869,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.954,0.046
0.2585,0.16,0.552,0.289
