compound,negative,neutral,positive
0.765,0.0,0.714,0.286
-0.4404,0.244,0.756,0.0
0.5719,0.0,0.448,0.552
0.34,0.0,0.906,0.094
0.6369,0.0,0.833,0.167
0.4404,0.0,0.408,0.592
0.5068,0.0,0.647,0.353
0.6114,0.0,0.6,0.4
-0.2255,0.134,0.746,0.12
0.6486,0.0,0.43,0.57
0.4215,0.0,0.797,0.203
-0.5927,0.211,0.667,0.122
-0.1154,0.088,0.912,0.0
-0.7003,0.254,0.619,0.126
0.5574,0.0,0.526,0.474
-0.7184,0.462,0.538,0.0
0.7424,0.063,0.692,0.245
-0.3182,0.119,0.881,0.0
0.0,0.0,1.0,0.0
-0.5346,0.259,0.604,0.137
0.5859,0.0,0.821,0.179
0.6444,0.058,0.791,0.151
0.2617,0.0,0.907,0.093
-0.4374,0.193,0.707,0.1
0.0,0.0,1.0,0.0
-0.6808,0.185,0.772,0.043
0.6204,0.0,0.747,0.253
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.148,0.591,0.261
0.7906,0.0,0.579,0.421
0.0,0.0,1.0,0.0
-0.4599,0.156,0.797,0.047
0.0,0.0,1.0,0.0
-0.1779,0.229,0.588,0.183
-0.128,0.13,0.87,0.0
-0.3182,0.402,0.345,0.253
0.6976,0.0,0.464,0.536
0.7954,0.0,0.679,0.321
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9097,0.043,0.657,0.3
-0.6249,0.506,0.494,0.0
-0.7177,0.214,0.786,0.0
0.4939,0.0,0.61,0.39
0.2732,0.0,0.769,0.231
-0.8937,0.413,0.501,0.086
-0.8562,0.24,0.658,0.102
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2603,0.266,0.551,0.184
0.0772,0.0,0.794,0.206
0.5951,0.0,0.805,0.195
-0.9587,0.437,0.563,0.0
0.4019,0.0,0.828,0.172
0.6322,0.0,0.835,0.165
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8225,0.0,0.397,0.603
-0.0516,0.085,0.915,0.0
0.2023,0.0,0.904,0.096
-0.6114,0.307,0.693,0.0
0.8519,0.0,0.795,0.205
-0.0516,0.098,0.902,0.0
-0.0387,0.098,0.808,0.094
-0.0516,0.091,0.909,0.0
0.6114,0.0,0.84,0.16
0.3612,0.0,0.8,0.2
0.0,0.0,1.0,0.0
-0.0516,0.107,0.893,0.0
-0.4939,0.262,0.738,0.0
0.4767,0.135,0.57,0.295
-0.2023,0.112,0.801,0.087
-0.0772,0.225,0.599,0.176
0.2023,0.0,0.833,0.167
-0.2023,0.041,0.959,0.0
-0.6593,0.208,0.731,0.062
