username,content,date,userlocation,likecount,retweetcount,followers,url
BeileyBrius,Ej znacie jakiś sposób jak ściągnąć mając egzamin na testportalu i do tego obowiązkowe kamerki..... #studia2021 #sesja #elite #TwitteroweKsiazkary #ESPPOL #fitczerwiec,2021-06-20 14:31:41+00:00,,0,0,864,https://twitter.com/BeileyBrius/status/1406620774853754886
matuszewski_ini,"#PrawdaLiczb podaje noty InStat za mecz #ESPPOL

Lewandowski 321
Szczęsny 283
Klich 279
Zieliński 278
Jóźwiak 274
Moder 271
Kozłowski 268
Bereszyński 263
Bednarek 255
Świderski 250
Glik 245
Puchacz 230
Frankowski 217
Dawidowicz -
Karol Linetty -

CC: @KoltonRoman x @PrawdaFutbolu https://t.co/dO86z2jeRQ",2021-06-20 14:25:54+00:00,"Warszawa, Polska",37,3,4939,https://twitter.com/matuszewski_ini/status/1406619321657401345
M_Bondyra,"Efekt remisu z Hiszpanami? Dziś na Eucharystii ksiądz poinformował,że środowa msza odbędzie się szybciej,podobnie jak środowy trening piłkarski u młodego. Wszystko po to,by można było obejrzeć mecz Polaków o wszystko ze Szwedami.Duch w narodzie powraca. #ESPPOL #POLSWE #EURO2020",2021-06-20 14:25:25+00:00,Poznań,20,0,854,https://twitter.com/M_Bondyra/status/1406619199867400195
BogdanKowalski2,Siedzę sobie na plaży a tu wracają nasi po meczu #ESPPOL . No to im pomachałem. #ŁączyNasPiłka . https://t.co/Zed73cbW3A,2021-06-20 14:21:54+00:00,,7,0,4762,https://twitter.com/BogdanKowalski2/status/1406618315808718849
WarzochaKamil,"Gdyby Karol Świderski zdobył bramkę, mówilibyśmy o występie kompletnym. A tak powiemy jedynie, “jedynie”, że obecność napastnika PAOK-u na boisku była dla nas niezwykle ważną wartością dodaną.

Och, Karol. To było dobre 🇵🇱
#ESPPOL
https://t.co/LyOUqaHP1t",2021-06-20 14:01:33+00:00,Wrocław,38,1,2239,https://twitter.com/WarzochaKamil/status/1406613193200488450
Roslonski1993,Tu nie trzeba nic dodawać 😂 #ESPPOL #EURO2020 https://t.co/I83HPo4JT1,2021-06-20 14:01:29+00:00,,0,0,500,https://twitter.com/Roslonski1993/status/1406613176544907270
Karl_Rove13,Dzisiaj nikt nie mówi o braku Szymańskiego i Grosika #POLSPA #strefaeuro #ESPPOL,2021-06-20 14:01:12+00:00,"Poznan, Poland",1,0,209,https://twitter.com/Karl_Rove13/status/1406613103203266560
FilipZybert,"Koszalinianie - pękajcie z dumy, macie powód i podawajcie dalej ten artykuł❗️#esppol #strefaeuro #Koszalin #EURO2020 https://t.co/15s98ljolu",2021-06-20 13:58:19+00:00,Poznań,0,0,285,https://twitter.com/FilipZybert/status/1406612377357979653
D_Urbaniak93,"👉🏻 Jako hypeman pochodzący z tego samego miasta zapraszam Was do artykułu uświadamiającego jak dużo już osiągnął Kacper Kozłowski 👍🏻❗️

❗️Pamiętajcie: z tego miasta jest też  Mirosław Okoński i @SebastianMila11 
https://t.co/xPM1xJBTAP

#ESPPOL #EURO2020 #strefaeuro #Koszalin",2021-06-20 13:57:15+00:00,"Koszalin, Polska",6,1,288,https://twitter.com/D_Urbaniak93/status/1406612112991043589
DudeOfPoland,"Wczoraj wszystkim naszym zawodnikom na murawie oraz Trenejro coś wyrosło na plecach.
#ŁączyNasPiłka #teamPoland 🇵🇱 👊
#ESPPOL #EURO2020 https://t.co/oeMPntTFPd",2021-06-20 13:56:56+00:00,,6,3,6156,https://twitter.com/DudeOfPoland/status/1406612032611360768
