compound,negative,neutral,positive
0.6133,0.098,0.621,0.281
0.6705,0.0,0.421,0.579
0.6239,0.0,0.494,0.506
0.0772,0.31,0.354,0.336
0.0,0.0,1.0,0.0
-0.3804,0.722,0.278,0.0
0.0,0.0,1.0,0.0
0.6597,0.0,0.156,0.844
-0.607,0.237,0.763,0.0
0.4404,0.0,0.756,0.244
-0.5267,0.362,0.638,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6239,0.0,0.328,0.672
-0.34,0.706,0.294,0.0
0.6249,0.0,0.164,0.836
0.7506,0.0,0.584,0.416
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7096,0.424,0.576,0.0
-0.1027,0.219,0.781,0.0
0.0,0.0,1.0,0.0
-0.34,0.545,0.455,0.0
-0.4569,0.319,0.541,0.14
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2732,0.511,0.213,0.277
0.0,0.0,1.0,0.0
0.631,0.052,0.79,0.158
-0.4389,0.591,0.409,0.0
-0.4767,0.608,0.392,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.294,0.706
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9092,0.052,0.552,0.396
0.913,0.057,0.632,0.311
0.2732,0.0,0.84,0.16
-0.6597,0.688,0.312,0.0
0.34,0.0,0.909,0.091
0.5106,0.0,0.645,0.355
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.706,0.294,0.0
0.0,0.0,1.0,0.0
0.4588,0.0,0.727,0.273
0.7506,0.0,0.319,0.681
0.0,0.0,1.0,0.0
0.5574,0.0,0.465,0.535
0.0,0.0,1.0,0.0
0.0859,0.049,0.891,0.059
0.2732,0.0,0.656,0.344
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.725,0.275
-0.0516,0.194,0.806,0.0
0.8866,0.0,0.639,0.361
0.0772,0.0,0.885,0.115
0.7832,0.0,0.503,0.497
0.0,0.0,1.0,0.0
-0.5574,0.365,0.635,0.0
-0.7901,0.246,0.71,0.044
0.0,0.0,1.0,0.0
-0.4466,0.147,0.853,0.0
0.2263,0.0,0.725,0.275
0.0,0.0,1.0,0.0
0.7871,0.054,0.627,0.32
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3164,0.136,0.679,0.185
0.1007,0.267,0.445,0.289
0.0,0.0,1.0,0.0
0.2023,0.0,0.816,0.184
-0.1739,0.156,0.727,0.117
0.4545,0.0,0.787,0.213
0.0,0.0,1.0,0.0
0.4003,0.0,0.722,0.278
0.2263,0.0,0.84,0.16
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.29,0.71
0.296,0.0,0.645,0.355
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
-0.1815,0.117,0.799,0.084
0.4404,0.0,0.674,0.326
0.0757,0.052,0.889,0.059
0.0,0.0,1.0,0.0
-0.2883,0.16,0.72,0.12
0.504,0.0,0.839,0.161
-0.1027,0.146,0.729,0.125
0.2942,0.0,0.785,0.215
0.5423,0.0,0.533,0.467
-0.3182,0.277,0.723,0.0
-0.1531,0.123,0.775,0.102
-0.34,0.13,0.87,0.0
0.0,0.0,1.0,0.0
0.6369,0.0,0.769,0.231
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.34,0.082,0.685,0.233
-0.4795,0.238,0.762,0.0
0.7269,0.0,0.141,0.859
0.0,0.0,1.0,0.0
0.5994,0.0,0.506,0.494
0.34,0.0,0.844,0.156
0.0,0.0,1.0,0.0
-0.4389,0.112,0.888,0.0
0.0,0.0,1.0,0.0
-0.4215,0.177,0.823,0.0
0.5859,0.0,0.678,0.322
0.0,0.0,1.0,0.0
0.5095,0.0,0.798,0.202
0.0,0.0,1.0,0.0
0.8374,0.0,0.668,0.332
-0.126,0.23,0.77,0.0
-0.2846,0.178,0.702,0.12
0.624,0.0,0.733,0.267
0.0,0.0,1.0,0.0
0.7269,0.0,0.79,0.21
0.3094,0.147,0.723,0.131
0.0,0.0,1.0,0.0
0.3182,0.0,0.685,0.315
0.0,0.0,1.0,0.0
0.5859,0.0,0.743,0.257
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5574,0.092,0.615,0.292
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.648,0.352
0.4329,0.0,0.583,0.417
0.8807,0.062,0.562,0.376
0.8658,0.052,0.701,0.246
-0.6504,0.571,0.429,0.0
0.0,0.0,1.0,0.0
0.6486,0.0,0.654,0.346
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2755,0.0,0.895,0.105
0.0,0.0,1.0,0.0
0.6031,0.142,0.628,0.23
-0.3215,0.285,0.478,0.237
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1779,0.315,0.449,0.236
0.0,0.0,1.0,0.0
-0.4588,0.292,0.583,0.125
-0.2748,0.513,0.487,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7184,0.0,0.333,0.667
-0.34,0.375,0.625,0.0
-0.4588,0.273,0.727,0.0
0.6597,0.0,0.565,0.435
-0.1027,0.094,0.796,0.11
0.4019,0.0,0.87,0.13
0.5719,0.0,0.684,0.316
0.0,0.0,1.0,0.0
0.7345,0.067,0.722,0.211
-0.2584,0.253,0.747,0.0
0.0,0.0,1.0,0.0
-0.3089,0.273,0.727,0.0
0.0772,0.313,0.368,0.319
0.5267,0.0,0.855,0.145
0.3818,0.0,0.658,0.342
0.872,0.0,0.503,0.497
0.7269,0.0,0.33,0.67
-0.9144,0.328,0.617,0.055
-0.1511,0.15,0.85,0.0
0.3182,0.0,0.0,1.0
0.636,0.0,0.679,0.321
0.9118,0.0,0.543,0.457
0.7783,0.0,0.306,0.694
0.0,0.0,1.0,0.0
-0.4184,0.271,0.589,0.14
0.0,0.0,1.0,0.0
0.34,0.235,0.392,0.373
0.4824,0.0,0.795,0.205
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.316,0.565,0.119
0.0,0.0,1.0,0.0
-0.296,0.306,0.694,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4939,0.0,0.897,0.103
0.0,0.0,1.0,0.0
0.7249,0.0,0.684,0.316
0.296,0.13,0.677,0.193
0.0,0.0,1.0,0.0
0.2263,0.185,0.573,0.242
0.3182,0.0,0.827,0.173
0.0,0.0,1.0,0.0
0.8385,0.04,0.755,0.204
0.4588,0.0,0.941,0.059
-0.5423,0.412,0.588,0.0
-0.2732,0.167,0.67,0.163
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8555,0.0,0.771,0.229
0.5719,0.0,0.865,0.135
0.0,0.0,1.0,0.0
0.7213,0.105,0.624,0.271
0.5684,0.078,0.677,0.245
-0.0258,0.05,0.95,0.0
-0.2444,0.348,0.401,0.251
0.6224,0.032,0.82,0.148
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.25,0.093,0.756,0.151
0.4588,0.0,0.852,0.148
0.0,0.0,1.0,0.0
0.4374,0.0,0.757,0.243
0.0,0.0,1.0,0.0
0.5374,0.0,0.852,0.148
0.0,0.0,1.0,0.0
-0.593,0.335,0.536,0.129
0.0,0.0,1.0,0.0
0.3182,0.0,0.635,0.365
0.6249,0.0,0.836,0.164
0.3111,0.134,0.668,0.199
0.0,0.0,1.0,0.0
0.836,0.051,0.752,0.196
0.0,0.0,1.0,0.0
0.6224,0.031,0.824,0.144
-0.296,0.254,0.58,0.167
0.6486,0.0,0.588,0.412
0.1531,0.0,0.758,0.242
-0.4215,0.275,0.725,0.0
0.2732,0.205,0.468,0.327
0.0,0.0,1.0,0.0
-0.0772,0.255,0.438,0.307
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.762,0.238
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3818,0.0,0.606,0.394
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.25,0.167,0.833,0.0
-0.7003,0.179,0.761,0.06
0.0,0.0,1.0,0.0
0.25,0.149,0.671,0.18
0.0,0.0,1.0,0.0
-0.0171,0.162,0.679,0.158
0.34,0.0,0.833,0.167
0.6892,0.0,0.599,0.401
0.5423,0.054,0.793,0.153
0.5719,0.0,0.654,0.346
0.0,0.0,1.0,0.0
0.1779,0.0,0.918,0.082
-0.5267,0.63,0.37,0.0
0.0516,0.3,0.375,0.325
0.3164,0.072,0.815,0.114
0.0,0.0,1.0,0.0
-0.4588,0.438,0.375,0.188
0.25,0.106,0.748,0.146
0.4588,0.0,0.879,0.121
0.0,0.0,1.0,0.0
-0.5423,0.47,0.241,0.289
0.0,0.062,0.876,0.062
-0.4215,0.109,0.891,0.0
-0.4717,0.235,0.765,0.0
0.0,0.0,1.0,0.0
-0.6486,0.518,0.482,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.798,0.202
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2716,0.0,0.93,0.07
-0.4717,0.17,0.83,0.0
0.3612,0.0,0.8,0.2
0.7469,0.0,0.839,0.161
0.5562,0.116,0.61,0.274
-0.4019,0.574,0.426,0.0
0.3612,0.0,0.783,0.217
-0.4574,0.395,0.417,0.188
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.157,0.843,0.0
-0.4939,0.375,0.625,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9397,0.065,0.637,0.298
0.0,0.0,1.0,0.0
0.9048,0.044,0.707,0.25
0.5307,0.098,0.633,0.269
0.3612,0.0,0.667,0.333
0.6249,0.0,0.9,0.1
0.0,0.0,1.0,0.0
0.6209,0.0,0.775,0.225
0.8519,0.0,0.738,0.262
0.0,0.0,1.0,0.0
0.6341,0.0,0.489,0.511
-0.69,0.587,0.413,0.0
0.5984,0.035,0.804,0.161
0.2244,0.0,0.927,0.073
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4824,0.164,0.836,0.0
0.7256,0.07,0.72,0.211
0.0,0.0,1.0,0.0
0.3612,0.0,0.706,0.294
0.6093,0.0,0.502,0.498
0.0,0.0,1.0,0.0
-0.4019,0.252,0.748,0.0
0.9382,0.032,0.587,0.381
-0.8852,0.353,0.647,0.0
0.0,0.0,1.0,0.0
-0.34,0.324,0.676,0.0
0.2714,0.076,0.787,0.137
0.1027,0.088,0.804,0.108
-0.1779,0.118,0.787,0.095
0.0,0.0,1.0,0.0
0.6476,0.076,0.709,0.215
0.6239,0.0,0.687,0.313
0.6083,0.03,0.849,0.121
0.0,0.0,1.0,0.0
0.5423,0.0,0.769,0.231
-0.4767,0.608,0.392,0.0
0.34,0.0,0.87,0.13
0.6908,0.064,0.758,0.178
-0.1511,0.186,0.602,0.212
0.6369,0.0,0.743,0.257
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.444,0.556
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.759,0.241
0.0,0.0,1.0,0.0
-0.6249,0.176,0.765,0.059
0.0,0.0,1.0,0.0
0.5499,0.0,0.756,0.244
-0.1531,0.119,0.782,0.099
0.6732,0.0,0.835,0.165
0.1999,0.192,0.545,0.263
0.3182,0.0,0.635,0.365
0.0,0.0,1.0,0.0
0.872,0.117,0.604,0.279
-0.5386,0.127,0.873,0.0
0.4215,0.0,0.872,0.128
0.2732,0.235,0.435,0.33
-0.3182,0.223,0.777,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.935,0.065
0.0,0.0,1.0,0.0
-0.7887,0.317,0.683,0.0
-0.5255,0.531,0.469,0.0
-0.5423,0.538,0.462,0.0
0.3365,0.071,0.793,0.136
0.0,0.0,1.0,0.0
0.836,0.0,0.759,0.241
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.566,0.434
0.0,0.0,1.0,0.0
-0.296,0.084,0.916,0.0
0.7351,0.0,0.64,0.36
0.0,0.0,1.0,0.0
0.8507,0.048,0.679,0.273
-0.6908,0.74,0.26,0.0
-0.4019,0.108,0.836,0.056
0.5719,0.0,0.684,0.316
0.68,0.0,0.641,0.359
0.296,0.057,0.825,0.119
0.0516,0.087,0.816,0.097
-0.638,0.345,0.655,0.0
-0.2235,0.212,0.788,0.0
0.4019,0.0,0.27,0.73
-0.4389,0.591,0.409,0.0
0.8268,0.0,0.588,0.412
-0.5423,0.212,0.788,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.678,0.322
0.0,0.0,1.0,0.0
0.8316,0.0,0.476,0.524
0.0,0.0,1.0,0.0
0.0258,0.0,0.967,0.033
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4019,0.0,0.912,0.088
0.0,0.0,1.0,0.0
0.5859,0.0,0.568,0.432
0.0,0.0,1.0,0.0
0.8777,0.0,0.631,0.369
0.0,0.0,1.0,0.0
0.4389,0.0,0.9,0.1
-0.3736,0.1,0.9,0.0
0.3818,0.2,0.455,0.345
0.0,0.0,1.0,0.0
0.7559,0.0,0.707,0.293
0.7707,0.049,0.713,0.238
0.9001,0.086,0.486,0.429
0.2732,0.0,0.943,0.057
0.0516,0.163,0.663,0.175
-0.5106,0.216,0.784,0.0
0.0,0.0,1.0,0.0
0.8805,0.0,0.556,0.444
-0.855,0.677,0.323,0.0
0.5859,0.0,0.703,0.297
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5574,0.697,0.303,0.0
-0.8957,0.258,0.742,0.0
0.5562,0.0,0.807,0.193
0.8904,0.0,0.739,0.261
-0.6705,0.333,0.667,0.0
0.0,0.0,1.0,0.0
0.126,0.364,0.243,0.394
0.3182,0.0,0.897,0.103
0.0,0.0,1.0,0.0
-0.3818,0.191,0.809,0.0
0.7184,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8225,0.0,0.449,0.551
0.0,0.0,1.0,0.0
-0.5719,0.538,0.323,0.14
0.0,0.0,1.0,0.0
-0.1027,0.258,0.562,0.18
0.0,0.0,1.0,0.0
0.2732,0.0,0.704,0.296
0.0,0.0,1.0,0.0
0.9749,0.028,0.61,0.362
0.4404,0.0,0.854,0.146
0.2944,0.0,0.872,0.128
-0.3365,0.12,0.789,0.091
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7156,0.124,0.876,0.0
0.8122,0.09,0.607,0.303
0.0,0.0,1.0,0.0
0.5707,0.0,0.813,0.187
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
